LATITUDE,LONGITUDE,LOCATION,Value
,,,1
,,,1
,,,1
40.667202,-73.8665,"(40.667202, -73.8665)",1
40.683304,-73.917274,"(40.683304, -73.917274)",1
,,,1
40.709183,-73.956825,"(40.709183, -73.956825)",1
40.86816,-73.83148,"(40.86816, -73.83148)",1
40.67172,-73.8971,"(40.67172, -73.8971)",1
40.75144,-73.97397,"(40.75144, -73.97397)",1
40.701275,-73.88887,"(40.701275, -73.88887)",1
40.675884,-73.75577,"(40.675884, -73.75577)",1
,,,1
40.59662,-74.00231,"(40.59662, -74.00231)",1
40.66684,-73.78941,"(40.66684, -73.78941)",1
40.68158,-73.97463,"(40.68158, -73.97463)",1
40.65068,-73.95881,"(40.65068, -73.95881)",1
,,,1
40.87262,-73.904686,"(40.87262, -73.904686)",1
40.783268,-73.82485,"(40.783268, -73.82485)",1
40.748917,-73.993546,"(40.748917, -73.993546)",1
40.744644,-73.77041,"(40.744644, -73.77041)",1
40.75373,-73.88505,"(40.75373, -73.88505)",1
40.804375,-73.93742,"(40.804375, -73.93742)",1
40.63165,-74.08762,"(40.63165, -74.08762)",1
40.623104,-73.95809,"(40.623104, -73.95809)",1
40.66576,-73.9845,"(40.66576, -73.9845)",1
40.687534,-73.9775,"(40.687534, -73.9775)",1
40.710957,-73.951126,"(40.710957, -73.951126)",1
40.81813,-73.910126,"(40.81813, -73.910126)",1
40.70447,-73.90148,"(40.70447, -73.90148)",1
40.784615,-73.953964,"(40.784615, -73.953964)",1
,,,1
,,,1
,,,1
,,,1
,,,1
40.663303,-73.96049,"(40.663303, -73.96049)",1
,,,1
40.720535,-73.88885,"(40.720535, -73.88885)",1
40.607685,-74.13892,"(40.607685, -74.13892)",1
40.855972,-73.869896,"(40.855972, -73.869896)",1
40.790276,-73.9396,"(40.790276, -73.9396)",1
40.642986,-74.01621,"(40.642986, -74.01621)",1
0,0,"(0.0, 0.0)",1
40.843906,-73.92413,"(40.843906, -73.92413)",1
40.89481,-73.86183,"(40.89481, -73.86183)",1
0,0,"(0.0, 0.0)",1
40.85169,-73.95238,"(40.85169, -73.95238)",1
40.861862,-73.91275,"(40.861862, -73.91275)",1
40.666256,-73.900215,"(40.666256, -73.900215)",1
40.767242,-73.986206,"(40.767242, -73.986206)",1
40.62417,-73.97048,"(40.62417, -73.97048)",1
40.679955,-73.97491,"(40.679955, -73.97491)",1
40.692356,-73.94282,"(40.692356, -73.94282)",1
40.78291,-73.98578,"(40.78291, -73.98578)",1
40.67308,-73.91124,"(40.67308, -73.91124)",1
40.65011,-73.930214,"(40.65011, -73.930214)",1
40.638382,-74.03668,"(40.638382, -74.03668)",1
40.69261,-73.81143,"(40.69261, -73.81143)",1
40.745235,-73.937706,"(40.745235, -73.937706)",1
,,,1
40.758705,-73.93793,"(40.758705, -73.93793)",1
40.695156,-73.845406,"(40.695156, -73.845406)",1
40.748158,-73.97033,"(40.748158, -73.97033)",1
40.609535,-73.75372,"(40.609535, -73.75372)",1
40.59207,-73.96299,"(40.59207, -73.96299)",1
